,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
Females Aged 30-39 Years,317200,318900,317500,319700,332100,316100,304700,301500,302400,293700,303900,297200,302700,305300,310200,318900,317900,307600,308600,305900,309500,300300,308900,310800,307700,298500,302400,304800,301100,305600,298100,293000,283900,278200,271200,267700,250800,251300,238100,228700,218700,205200,186000,158800
  Single,86600,86700,84400,79100,92600,82300,70400,65200,67000,64300,63900,66800,67800,63600,64300,66800,61600,60500,57600,58200,57200,53100,57900,51500,50900,51400,49500,52800,50400,54000,52000,49300,50200,49300,47500,48400,40100,41100,38400,36300,34500,32300,29200,21300
  Married,222900,223200,222500,227900,226600,221200,223200,224000,226000,220400,227700,219800,225100,229100,233900,238600,243500,235900,241300,237400,241500,238200,242700,250200,247000,236700,244400,244600,241200,242100,236900,235100,224600,220300,215600,209900,202800,203000,192400,184500,177500,166900,152200,132100
  Widowed,300,500,1000,800,800,700,900,1300,700,500,800,600,500,600,800,1000,1100,700,1000,1400,1100,1300,1200,1100,1600,1200,1100,1500,1500,1600,1800,1700,2000,2000,2000,3100,3000,2100,2600,2700,2400,2400,2400,2400
  Divorced/Separated,7400,8500,9700,11900,12100,12000,10200,11100,8800,8600,11500,10100,9400,12000,11200,12500,11700,10600,8700,8900,9600,7600,7100,7900,8200,9300,7400,5900,7900,7900,7500,6900,7100,6700,6000,6300,4900,5100,4700,5100,4300,3600,2200,2900
Total Aged 40-49 Years,627700,624000,624800,677000,611800,610300,627800,626700,634500,605400,617200,604100,626000,630400,624500,623900,631100,630600,642300,644700,620300,625700,608900,595500,579800,561600,552200,551900,530800,512700,475800,438600,424600,387300,364300,331500,316700,308500,282300,268100,264000,262000,246200,227100
  Single,93300,90000,93000,103800,98900,95300,87300,88900,88300,83400,89900,85500,84900,79800,83000,86300,82300,80600,84400,86000,86300,82700,83800,79400,77400,72700,71500,68100,63200,54400,52600,43300,38600,36500,32200,32900,18600,19600,16700,15600,14900,14000,13400,14100
  Married,499200,495300,493300,527900,475000,474100,498900,495600,510500,485300,489100,485200,506600,514800,506300,502300,515500,518300,526300,525100,502700,512200,498200,488600,474500,459100,455300,460900,445600,434000,401700,375100,366100,330500,312900,281500,280300,272400,250700,236900,234600,234300,219800,199200
  Widowed,2900,4100,4200,4300,3300,4200,4500,5500,4500,4900,4700,4200,4000,5500,7000,5700,5700,5300,6100,6500,6200,7300,6800,6500,6900,7200,8000,8700,8300,9600,8200,8700,9500,9300,8800,9000,9600,9400,8800,9000,8900,8500,10000,9400
  Divorced/Separated,32200,34600,34300,41100,34700,36700,37100,36700,31200,31800,33400,29100,30400,30300,28200,29600,27600,26500,25500,27200,25100,23600,20100,20900,21000,22500,17500,14100,13700,14800,13200,11600,10400,11000,10400,8200,8200,7100,6200,6600,5500,5200,3000,4400
